"subject_type","subject_source","subject_id","predicate","object_type","object_source","object_id","qualifier","remarks"
"recordings","","9046","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9046","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17084","",""
"recordings","","9046","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9047","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9047","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17084","",""
"recordings","","9047","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9048","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9048","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15153","",""
"recordings","","9048","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9049","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9049","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9049","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9050","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9050","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9050","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9051","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9051","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9051","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9052","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9052","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9052","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9053","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9053","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9053","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9054","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9054","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9054","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9055","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","92","",""
"recordings","","9055","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15154","",""
"recordings","","9055","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9056","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","112","",""
"recordings","","9056","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15398","",""
"recordings","","9056","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9058","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","84","",""
"recordings","","9058","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15492","",""
"recordings","","9058","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9059","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","84","",""
"recordings","","9059","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15492","",""
"recordings","","9059","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9060","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","84","",""
"recordings","","9060","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15492","",""
"recordings","","9060","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9061","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","112","",""
"recordings","","9061","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15398","",""
"recordings","","9061","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9062","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","88","",""
"recordings","","9062","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15609","",""
"recordings","","9062","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9063","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","88","",""
"recordings","","9063","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15609","",""
"recordings","","9063","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9064","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","142","",""
"recordings","","9064","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9065","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","142","",""
"recordings","","9065","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
