"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"24578","20170907103937.jpg","https://bio.acousti.ca/sites/default/files/20170907103937.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2285910","2866","2024",""
"24579","20170907103959.jpg","https://bio.acousti.ca/sites/default/files/20170907103959.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2359222","2866","2024",""
"24580","20170907104027.jpg","https://bio.acousti.ca/sites/default/files/20170907104027.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1081655","2338","1654",""
"24581","20170907104114.jpg","https://bio.acousti.ca/sites/default/files/20170907104114.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1631599","2338","1654",""
"24582","20170907104134.jpg","https://bio.acousti.ca/sites/default/files/20170907104134.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1695653","2338","1654",""
"24583","20170907104156.jpg","https://bio.acousti.ca/sites/default/files/20170907104156.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1091757","2338","1654",""
"24584","20170907104230.jpg","https://bio.acousti.ca/sites/default/files/20170907104230.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1683696","2338","1654",""
"24585","20170907104251.jpg","https://bio.acousti.ca/sites/default/files/20170907104251.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1742746","2338","1654",""
"24586","20170907104317.jpg","https://bio.acousti.ca/sites/default/files/20170907104317.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1065319","2338","1654",""
"24587","20170907104339.jpg","https://bio.acousti.ca/sites/default/files/20170907104339.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2201134","2866","2024",""
"24588","20170907104406.jpg","https://bio.acousti.ca/sites/default/files/20170907104406.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2307624","2866","2024",""
"24590","20170907104431.jpg","https://bio.acousti.ca/sites/default/files/20170907104431_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2457199","2866","2024",""
"24591","20170907104456.jpg","https://bio.acousti.ca/sites/default/files/20170907104456.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1069940","2338","1654",""
"24593","20170907104519.jpg","https://bio.acousti.ca/sites/default/files/20170907104519_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2193762","2866","2024",""
"24594","20170907104545.jpg","https://bio.acousti.ca/sites/default/files/20170907104545.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2035589","2866","2024",""
