"id","name","continent","countryCode","stateProvince","county","island","islandGroup","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","info_url"
"11652","Africa: South Africa: Eastern Cape: Woodcliffe Farm nr Maclear","Africa","ZA","","Eastern Cape","","","Woodcliffe Farm nr Maclear","-30.994","28.19","","","","","","https://bio.acousti.ca/node/11652"
"11653","Africa: South Africa: Mpumalanga: R533 nr Grasskop","Africa","ZA","","Mpumalanga","","","R533 nr Grasskop","-24.952","30.846","","","","","","https://bio.acousti.ca/node/11653"
"11654","Africa: South Africa: KwaZulu-Natal: R543 nr Piet Retief","Africa","ZA","","KwaZulu-Natal","","","R543 nr Piet Retief","-27.281","30.358","","","","","","https://bio.acousti.ca/node/11654"
"11655","Africa: South Africa: KwaZulu-Natal: Fort Nottingham","Africa","ZA","","KwaZulu-Natal","","","Fort Nottingham","-29.376","29.993","","","","","","https://bio.acousti.ca/node/11655"
"11656","Africa: South Africa: Eastern Cape: 10km S Whittlesea","Africa","ZA","","Eastern Cape","","","10km S Whittlesea","-32.256","26.863","","","","","","https://bio.acousti.ca/node/11656"
"11657","Africa: South Africa: Free State: R74 nr Harrismith","Africa","ZA","","Free State","","","R74 nr Harrismith","-28.563","29.072","","","","","","https://bio.acousti.ca/node/11657"
"11658","Africa: South Africa: Mpumalanga: R38 nr Barberton","Africa","ZA","","Mpumalanga","","","R38 nr Barberton","-25.653","31.266","","","","","","https://bio.acousti.ca/node/11658"
"11659","Africa: South Africa: Mpumalanga: R33 nr Houtkop Farm","Africa","ZA","","Mpumalanga","","","R33 nr Houtkop Farm","-26.678","30.706","","","","","","https://bio.acousti.ca/node/11659"
"11660","Africa: South Africa: KwaZulu-Natal: nr Jozini","Africa","ZA","","KwaZulu-Natal","","","nr Jozini","-27.046","32.347","","","","","","https://bio.acousti.ca/node/11660"
"11661","Africa: South Africa: Limpopo: R36 nr Tzaneen","Africa","ZA","","Limpopo","","","R36 nr Tzaneen","-23.622","30.127","","","","","","https://bio.acousti.ca/node/11661"
"11662","Africa: South Africa: Limpopo: R523 nr Vivo","Africa","ZA","","Limpopo","","","R523 nr Vivo","-22.98","29.281","","","","","","https://bio.acousti.ca/node/11662"
"11663","Africa: South Africa: Mpumalanga: R38 nr Barberton","Africa","ZA","","Mpumalanga","","","R38 nr Barberton","-25.722","31.058","","","","","","https://bio.acousti.ca/node/11663"
"11664","Africa: South Africa: Limpopo: Morning Sun Ranch, Makhado","Africa","ZA","","Limpopo","","","Morning Sun Ranch, Makhado","-22.941","29.878","","","","","","https://bio.acousti.ca/node/11664"
"11665","Africa: South Africa: Mpumalanga: Blyde River Canyon","Africa","ZA","","Mpumalanga","","","Blyde River Canyon","-24.554","30.733","","","","","","https://bio.acousti.ca/node/11665"
"11666","Africa: South Africa: KwaZulu-Natal: nr Qudeni Forest","Africa","ZA","","KwaZulu-Natal","","","nr Qudeni Forest","-28.919","30.852","","","","","","https://bio.acousti.ca/node/11666"
"11667","Africa: South Africa: Mpumalanga: Blyde River Canyon","Africa","ZA","","Mpumalanga","","","Blyde River Canyon","-24.685","30.813","","","","","","https://bio.acousti.ca/node/11667"
"11668","Africa: South Africa: Mpumalanga: Blyde River Canyon","Africa","ZA","","Mpumalanga","","","Blyde River Canyon","-24.637","30.81","","","","","","https://bio.acousti.ca/node/11668"
"11669","Africa: South Africa: Eastern Cape: nr Coombs View","Africa","ZA","","Eastern Cape","","","nr Coombs View","-33.281","26.808","","","","","","https://bio.acousti.ca/node/11669"
"11670","Africa: South Africa: Eastern Cape: Fish River Hotel","Africa","ZA","","Eastern Cape","","","Fish River Hotel","-33.477","27.141","","","","","","https://bio.acousti.ca/node/11670"
"11671","Africa: South Africa: Eastern Cape: 7km S Paterson","Africa","ZA","","Eastern Cape","","","7km S Paterson","-33.486","25.932","","","","","","https://bio.acousti.ca/node/11671"
"11672","Africa: South Africa: Northern Cape: Groblershoop","Africa","ZA","","Northern Cape","","","Groblershoop","-28.886","21.979","","","","","","https://bio.acousti.ca/node/11672"
"11673","Africa: South Africa: KwaZulu-Natal: Richards Bay","Africa","ZA","","KwaZulu-Natal","","","Richards Bay","-28.71","32.189","","","","","","https://bio.acousti.ca/node/11673"
"11674","Africa: South Africa: Limpopo: R36 nr Tzaneen","Africa","ZA","","Limpopo","","","R36 nr Tzaneen","-23.649","30.172","","","","","","https://bio.acousti.ca/node/11674"
"11675","Africa: Malawi: : Chikongawa (Perekezi)","Africa","","","","","","Chikongawa (Perekezi)","-11.937","33.698","","","","","","https://bio.acousti.ca/node/11675"
"11676","Africa: South Africa: KwaZulu-Natal: nr Sodwana","Africa","ZA","","KwaZulu-Natal","","","nr Sodwana","-27.598","32.452","","","","","","https://bio.acousti.ca/node/11676"
