"id","scientificName","basisOfRecord","institutionCode","collectionCode","catalogNumber","otherCatalogNumbers","typeStatus","sex","lifeStage","individualCount","recordedBy","eventDate","identifiedBy","dateIdentified","identificationQualifier","associatedSequences","locality","countryCode","decimalLatitude","decimalLongitude","occurrenceRemarks","info_url"
"12010","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","922","","","","","","Ben Price","2007-12-15T00:00:00","","","","","Woodcliffe Farm nr Maclear","ZA","-30.987","28.23","","https://bio.acousti.ca/node/12010"
"12011","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","923","","","","","","Ben Price","2007-12-20T00:00:00","","","","","Umkomaas Valley","ZA","-29.726","29.937","","https://bio.acousti.ca/node/12011"
"12012","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","919","","","","","","Ben Price","2007-12-15T00:00:00","","","","","R528 nr Tzaneen","ZA","-23.938","30.024","","https://bio.acousti.ca/node/12012"
"12013","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","925","","","","","","Ben Price","2007-12-10T00:00:00","","","","","R74 nr Grasskop","ZA","-29.034","30.89","","https://bio.acousti.ca/node/12013"
"12014","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","930","","","","","","Ben Price","2007-12-10T00:00:00","","","","","R614 nr Wartberg","ZA","-29.527","31.099","","https://bio.acousti.ca/node/12014"
"12015","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","931","","","","","","Ben Price","2007-12-07T00:00:00","","","","","Coffee Bay","ZA","-31.987","29.152","","https://bio.acousti.ca/node/12015"
"12016","Platypleura signifera","PreservedSpecimen","AMGS","MHV Cicadas","888","","","","","","M.H. Villet; Ben Price","2007-12-31T00:00:00","","","","","nr Groenriviermond","ZA","-30.804","17.602","","https://bio.acousti.ca/node/12016"
"12017","Cicadetta sp.","PreservedSpecimen","AMGS","MHV Cicadas","972","","","","","","Ben Price","2007-12-13T00:00:00","","","","","N11 nr Newcastle","ZA","-27.861","29.947","","https://bio.acousti.ca/node/12017"
"12018","Koranna sp.","PreservedSpecimen","AMGS","MHV Cicadas","830","","","","","","Ben Price; M.H. Villet","2007-12-28T00:00:00","","","","","nr Robinson Pass","ZA","-33.763","22.085","","https://bio.acousti.ca/node/12018"
"12019","Koranna sp.","PreservedSpecimen","AMGS","MHV Cicadas","831","","","","","","Ben Price; M.H. Villet","2007-12-28T00:00:00","","","","","10km E Calitzdorp","ZA","-33.525","21.732","","https://bio.acousti.ca/node/12019"
"12020","Koranna sp.","PreservedSpecimen","AMGS","MHV Cicadas","844","","","","","","Ben Price; M.H. Villet","2007-12-29T00:00:00","","","","","nr Karookloof","ZA","-33.25","19.69","","https://bio.acousti.ca/node/12020"
