"source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","taxon","type","lat","lon","contact"
"bio.acousti.ca","11774","Nanoletter","300","2016-11-04 08:57","view","http://bio.acousti.ca/sites/default/files/MHV%20488%20P.hirtipennis%20Fish%20River%20Mouth%20%232.WAV","http://bio.acousti.ca/content/4882-platypleura-hirtipennis","0","6.838136","Platypleura hirtipennis","Voice Introduction","","","300"
"bio.acousti.ca","11774","Nanoletter","301","2016-11-04 09:02","view","http://bio.acousti.ca/sites/default/files/MHV%20488%20P.hirtipennis%20Fish%20River%20Mouth%20%232.WAV","http://bio.acousti.ca/content/4882-platypleura-hirtipennis","6.838136","133.1495","Platypleura hirtipennis","Call (with extraneous noise)","","","301"
"bio.acousti.ca","11774","Nanoletter","302","2016-11-04 09:02","view","http://bio.acousti.ca/sites/default/files/MHV%20488%20P.hirtipennis%20Fish%20River%20Mouth%20%232.WAV","http://bio.acousti.ca/content/4882-platypleura-hirtipennis","6.838136","133.1495","Platypleura hirtipennis","Call (with extraneous noise)","","","302"
"bio.acousti.ca","11774","Nanoletter","303","2016-11-04 09:09","view","http://bio.acousti.ca/sites/default/files/MHV%20488%20P.hirtipennis%20Fish%20River%20Mouth%20%232.WAV","http://bio.acousti.ca/content/4882-platypleura-hirtipennis","133.1407","136.0439","Platypleura hirtipennis","Voice Introduction","","","303"
"bio.acousti.ca","11774","Nanoletter","304","2016-11-04 09:12","view","http://bio.acousti.ca/sites/default/files/MHV%20488%20P.hirtipennis%20Fish%20River%20Mouth%20%232.WAV","http://bio.acousti.ca/content/4882-platypleura-hirtipennis","136.0439","141.1744","Platypleura hirtipennis","Call (with extraneous noise)","","","304"
"bio.acousti.ca","9062","qgeissmann","310","2016-11-04 17:39","view","http://bio.acousti.ca/sites/default/files/394-9_Nemobius_sylvestris_363_.wav","http://bio.acousti.ca/node/9062","72.78616","90.50379","Nemobius sylvestris","Call","","","310"
"bio.acousti.ca","9125","qgeissmann","313","2016-11-04 17:49","view","http://bio.acousti.ca/sites/default/files/399-5_Nemobius_sylvestris_410b_.wav","http://bio.acousti.ca/node/9125","4.474534","33.64691","Nemobius sylvestris","Call","","","313"
"bio.acousti.ca","9124","qgeissmann","314","2016-11-04 17:50","view","http://bio.acousti.ca/sites/default/files/399-4_Nemobius_sylvestris_410_.wav","http://bio.acousti.ca/node/9124","40.95802","68.34234","Nemobius sylvestris","Call","","","314"
"bio.acousti.ca","9063","qgeissmann","316","2016-11-04 18:26","view","http://bio.acousti.ca/sites/default/files/394-8_Metrioptera_roeselli_362_.wav","http://bio.acousti.ca/node/9063","39.99352","49.23827","Nemobius sylvestris","Call","","","316"
"bio.acousti.ca","15133","qgeissmann","318","2016-11-14 17:22","view","http://bio.acousti.ca/sites/default/files/03%20-%20Chorthippus%20brunneus%20868-3.wav","http://bio.acousti.ca/content/chorthippus-brunneus-8683","5","","Chorthippus Glyptobothrus brunneus","","","","318"
"bio.acousti.ca","15137","qgeissmann","319","2016-11-14 18:28","view","http://bio.acousti.ca/sites/default/files/1004_0.WAV","http://bio.acousti.ca/content/cicada-sp-milos-greece-recording-3","1","2","Cicadidae","Call","","","319"
"bio.acousti.ca","15137","r_bot","320","2016-11-14 18:34","view","http://bio.acousti.ca/sites/default/files/1004_0.WAV","http://bio.acousti.ca/content/cicada-sp-milos-greece-recording-3","1","2","Cicadidae","Call","","","320"
"bio.acousti.ca","12754","Edward Baker","328","2017-01-09 22:08","view","http://bio.acousti.ca/sites/default/files/97_1_0.wav","http://bio.acousti.ca/content/971tettigonia-cantans","0","29.19200","Tettigonia cantans","Voice Introduction","","","328"
"bio.acousti.ca","12754","Edward Baker","329","2017-01-09 22:09","view","http://bio.acousti.ca/sites/default/files/97_1_0.wav","http://bio.acousti.ca/content/971tettigonia-cantans","30.49556","386.3247","Tettigonia cantans","Call","","","329"
"bio.acousti.ca","12729","Edward Baker","330","2017-01-09 22:14","view","http://bio.acousti.ca/sites/default/files/269_5.wav","http://bio.acousti.ca/content/2695steropleurus-catalaunicus","86.31616","87.24900","Steropleurus catalaunicus","Call","","","330"
"bio.acousti.ca","9050","Edward Baker","335","2018-10-29 10:39","view","http://bio.acousti.ca/sites/default/files/393-9_Acheta_domesticus_3545_.wav","http://bio.acousti.ca/node/9050","0","40.16000","Acheta domesticus","Voice Introduction","","","335"
"bio.acousti.ca","9050","Edward Baker","336","2018-10-29 10:41","view","http://bio.acousti.ca/sites/default/files/393-9_Acheta_domesticus_3545_.wav","http://bio.acousti.ca/node/9050","40.96000","249.5600","Acheta domesticus","Calling song","","","336"
"bio.acousti.ca","9048","Edward Baker","337","2018-10-29 10:43","view","http://bio.acousti.ca/sites/default/files/393-7_Acheta_domesticus_354_.wav","http://bio.acousti.ca/node/9048","0","33.92138","Acheta domesticus","Voice Introduction","","","337"
"bio.acousti.ca","9048","Edward Baker","338","2018-10-29 10:44","view","http://bio.acousti.ca/sites/default/files/393-7_Acheta_domesticus_354_.wav","http://bio.acousti.ca/node/9048","34.76141","324.4532","Acheta domesticus","Calling song","","","338"
"bio.acousti.ca","58142","Edward Baker","343","2020-03-09 10:48","view","http://bio.acousti.ca/sites/default/files/Toxoptera_aurantii_0.wav","http://bio.acousti.ca/content/toxoptera-aurantii","2.284420","9.387238","Toxoptera aurantii","Voice Introduction","","","343"
"bio.acousti.ca","58142","Edward Baker","344","2020-03-09 10:48","view","http://bio.acousti.ca/sites/default/files/Toxoptera_aurantii_0.wav","http://bio.acousti.ca/content/toxoptera-aurantii","11.22243","37.47316","Toxoptera aurantii","Call","","","344"
